class,odor,gill-size,gill-color,stalk-shape,stalk-root,spore-print-color,population
p,s,n,b,t,?,w,v
p,f,n,b,t,?,w,v
p,y,n,b,t,?,w,v
e,n,b,u,t,b,n,v
e,l,b,k,e,c,n,n
p,f,n,b,t,?,w,v
e,n,b,w,t,b,n,y
e,n,b,e,e,?,w,c
p,f,b,p,e,b,h,y
p,p,n,w,e,e,n,v
p,f,n,b,t,?,w,v
p,y,n,b,t,?,w,v
p,f,b,w,t,b,h,s
p,y,n,b,t,?,w,v
p,y,n,b,t,?,w,v
e,n,b,p,t,e,k,a
p,p,n,p,e,e,n,v
e,n,n,n,e,e,n,y
e,n,b,y,e,?,b,c
p,f,b,w,t,b,h,v
e,n,b,p,t,e,n,a
e,n,b,p,t,b,k,y
p,f,b,p,e,b,h,y
p,f,b,w,t,b,h,v
p,f,n,b,t,?,w,v
e,n,b,n,t,b,n,y
e,n,b,o,e,?,b,v
p,f,n,b,t,?,w,v
p,y,n,b,t,?,w,v
e,n,b,o,e,?,y,v
e,n,b,w,t,b,n,y
p,f,b,g,e,b,h,y
e,n,b,p,t,e,k,s
p,p,n,p,e,e,k,v
e,n,b,n,t,b,n,y
e,a,b,g,e,c,k,n
p,s,n,b,t,?,w,v
p,f,n,b,t,?,w,v
e,n,b,u,t,b,k,v
e,n,b,h,t,e,n,s
e,n,b,w,e,?,w,c
e,n,b,w,t,b,k,y
e,n,b,w,t,b,k,y
e,n,b,u,t,b,k,v
p,f,b,g,e,b,h,v
p,f,b,h,t,b,h,s
e,n,b,h,t,e,k,s
e,n,n,p,e,e,k,y
e,n,b,p,t,e,n,a
e,a,b,w,e,c,k,s
e,n,b,u,t,b,n,y
e,n,b,e,e,?,w,c
e,n,b,p,e,?,w,s
p,s,n,b,t,?,w,v
p,y,n,b,t,?,w,v
p,y,n,b,t,?,w,v
e,n,b,n,t,b,k,v
p,f,b,w,t,b,h,v
p,p,n,k,e,e,k,s
p,p,n,p,e,e,n,v
e,l,b,w,e,c,k,n
p,f,b,h,e,b,h,v
e,l,b,p,e,r,k,s
e,n,b,n,t,b,n,v
e,n,b,p,t,e,k,s
p,y,n,b,t,?,w,v
